Target,Race,Gender,Age,NumberofRaters,Female_prop,Male_prop,Asian_prop,Black_prop,Latino_prop,Multi_prop,Other_prop,White_prop,Afraid,Angry,Attractive,Babyface,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Suitability,Surprised,Threatening,Trustworthy,Unusual,Luminance_median,Nose_Width,Nose_Length,Lip_Thickness,Face_Length,R_Eye_H,L_Eye_H,Avg_Eye_Height,R_Eye_W,L_Eye_W,Avg_Eye_Width,Face_Width_Cheeks,Face_Width_Mouth,Forehead,Pupil_Top_R,Pupil_Top_L,Asymmetry_pupil_top,Pupil_Lip_R,Pupil_Lip_L,Asymmetry_pupil_lip,BottomLip_Chin,Midcheek_Chin_R,Midcheek_Chin_L,Cheeks_avg,Midbrow_Hairline_R,Midbrow_Hairline_L,Faceshape,Heartshapeness,Noseshape,LipFullness,EyeShape,EyeSize,UpperHeadLength,MidfaceLength,ChinLength,ForeheadHeight,CheekboneHeight,CheekboneProminence,FaceRoundness,fWHR
BM-026,B,M,26.98924731,93,0,1,0,0.967741935,0.021505376,0,0.010752688,0,1.666666667,2.673913043,3.903225806,2.282608696,2.204301075,3.724137931,1.456521739,2.77173913,5.5,3.770833333,2.301075269,4.653846154,1.741935484,2.516129032,3.666666667,2.064516129,79,264,230,161,1211.5,51.5,52.5,52,148,154,151,660.5,581,436,442.5,447,4.5,373.5,384,10.5,226.5,557.5,540.5,549,363,371,0.545191911,1.136833046,1.147826087,0.132893108,0.344370861,0.042921998,0.359884441,0.312628972,0.186958316,0.302930252,0.453157243,0.065621131,0.47957078,1.76
BM-203,B,M,27.34615385,26,0,1,0.038461538,0.961538462,0,0,0,0,2.384615385,2.615384615,3,2.346153846,2,3.76,1.384615385,2.076923077,5,3.914893617,2.923076923,.,1.692307692,2.692307692,3.307692308,2.038461538,103,282,245,183,1209,59,60,59.5,184.5,174,179.25,649.5,532,477.5,458.5,470.5,12,363,359.5,3.5,177,462,457,459.5,334.5,360.5,0.537220844,1.220864662,1.151020408,0.151364764,0.331938633,0.049214227,0.394954508,0.298800662,0.146401985,0.287427626,0.38006617,117.5,0.440033085,1.900221772
BM-229,B,M,27.68965517,29,0,1,0,1,0,0,0,0,1.785714286,2.379310345,3.75862069,2.310344828,2.310344828,3.413793103,1.24137931,2.75862069,5.310344828,4.238095238,2.413793103,.,1.724137931,2.310344828,3.827586207,1.517241379,84,308,248.5,177,1252,53,55.5,54.25,168,166.5,167.25,663,503,503.5,505.5,521,15.5,371.5,362,9.5,195.5,499,498,498.5,389.5,406.5,0.529552716,1.318091451,1.23943662,0.141373802,0.324364723,0.043330671,0.40215655,0.29293131,0.15615016,0.317891374,0.398162939,160,0.401757188,1.844954517
LM-214,L,M,27.5,28,0,1,0.178571429,0,0.357142857,0.321428571,0.071428571,0.071428571,1.142857143,1.821428571,3.464285714,3.535714286,1.357142857,2.571428571,1.592592593,3.142857143,4.428571429,2.644444444,1.538461538,.,1.75,1.535714286,3.642857143,1.785714286,154,228,259,87,1073.5,53.5,57,55.25,159,154.5,156.75,639.5,514.5,420,434,424,10,350.5,352,1.5,202,379,392.5,385.75,327,330.5,0.595714951,1.242954325,0.88030888,0.081043316,0.352472089,0.051467163,0.391243596,0.327200745,0.188169539,0.306241267,0.359338612,125,0.479273405,1.944299065
LM-222,L,M,44.32,24,0,1,0,0,0.25,0.083333333,0.041666667,0.625,1.52,2.68,2.96,1.2,2.32,3.92,1.32,2.8,5.12,2.333333333,1.791666667,.,1.88,2.84,2.96,2.64,166,207,278.5,52.5,1102,37,39.5,38.25,139,135,137,635.5,506.5,341,411,409,2,418,415.5,2.5,246.5,404,459,431.5,354.5,353.5,0.576678766,1.254689042,0.743267504,0.047640653,0.27919708,0.034709619,0.309437387,0.378176044,0.223684211,0.32123412,0.391560799,129,0.459618875,1.828686564
LM-238,L,M,27.04,25,0,1,0.04,0,0.6,0.24,0,0.12,1.72,2.56,2.56,2.64,2.16,4.52,1.6,2.12,5.2,2.133333333,1.8,.,1.44,3.5,2.76,3.52,165,236.5,264,129.5,1129,45,43.5,44.25,154,165.5,159.75,627.5,497.5,421.5,502,509.5,7.5,366.5,365,1.5,228.5,444.5,440,442.25,382,399.5,0.555801594,1.261306533,0.895833333,0.114703277,0.276995305,0.039193977,0.373339238,0.323959256,0.202391497,0.346102746,0.391718335,130,0.440655447,1.704765926
LM-251,L,M,26.44,25,0,1,0,0,0.04,0.04,0,0.92,1.52,2.04,2.08,2.84,1.72,2.208333333,1.6,1.96,3.84,1.711111111,2.16,.,1.48,1.56,3.32,1.68,168.5,224,215,118,1132.5,53,52,52.5,162,167.5,164.75,651.5,561.5,360.5,448,415.5,32.5,351,356.5,5.5,242.5,444,442,443,372,305,0.575275938,1.160284951,1.041860465,0.10419426,0.318664643,0.046357616,0.318322296,0.312362031,0.214128035,0.298896247,0.391169978,90,0.49580574,2.032062982
WM-209,W,M,20.39285714,28,0,1,0,0,0,0.035714286,0,0.964285714,2.222222222,1.571428571,3.535714286,3.607142857,1.821428571,1.821428571,2.142857143,2.357142857,3.607142857,3.98,2.269230769,.,1.892857143,1.821428571,3.535714286,1.714285714,173,237,278,124.5,1155,66.5,67.5,67,171.5,164,167.75,641,531.5,442.5,442,435,7,361.5,363.5,2,224.5,449.5,450,449.75,369,370.5,0.554978355,1.206020696,0.852517986,0.107792208,0.399403875,0.058008658,0.383116883,0.313852814,0.194372294,0.32012987,0.389393939,109.5,0.46017316,1.921397239
BM-045,B,M,21.57777778,90,0,1,0,1,0,0,0,0,1.921348315,3.471910112,3.179775281,2.784090909,2.674157303,3.407407407,1.505617978,1.965909091,5.359550562,4.461538462,2.931818182,4.538461538,1.606741573,2.97752809,3.314606742,2.284090909,74,281,213,183.5,1153,53,55,54,171,174.5,172.75,666.5,607.5,436,406.5,423.5,17,343,329.5,13.5,191.5,495,493,494,285.5,317,0.578057242,1.097119342,1.319248826,0.159150043,0.312590449,0.046834345,0.378143972,0.291630529,0.166088465,0.261274935,0.428447528,0.051170859,0.526886383,2.04
BM-213,B,M,40.36,25,0,1,0,1,0,0,0,0,1.75,3.32,2.08,1.96,2.8,3.04,1.4,1.92,4.8,3.782608696,2.56,.,1.64,3.44,2.708333333,2.6,89.5,272,220,147.5,1101.5,50,47.5,48.75,158,157.5,157.75,628.5,526,461,465.5,463.5,2,312.5,314.5,2,187,407.5,420.5,414,389.5,389,0.570585565,1.19486692,1.236363636,0.133908307,0.309033281,0.04425783,0.4185202,0.284611893,0.169768498,0.353381752,0.375851112,102.5,0.47753064,2.238521536
LM-206,L,M,22.70833333,24,0,1,0.041666667,0,0.458333333,0.208333333,0,0.291666667,1.625,3.291666667,2.166666667,2.041666667,2.041666667,3.869565217,1.125,1.833333333,5.166666667,2.644444444,1.791666667,.,1.416666667,2.916666667,2.708333333,1.625,163.5,253,225,145.5,1095.5,54.5,48.5,51.5,172.5,159,165.75,643,528,391.5,406.5,407,0.5,347.5,347,0.5,215.5,464.5,460,462.25,316,320.5,0.5869466,1.21780303,1.124444444,0.132816066,0.310708899,0.047010497,0.357371063,0.316978549,0.196713829,0.290506618,0.421953446,115,0.481971702,2.02643617
WM-236,W,M,20.73076923,26,0,1,0,0,0,0,0.038461538,0.961538462,1.692307692,1.5,2.038461538,3.807692308,1.307692308,1.56,2.769230769,1.923076923,2.84,3.169811321,2.923076923,.,1.230769231,1.538461538,3,2.769230769,173.5,218.5,237.5,130,1059,58,54.5,56.25,175,176,175.5,650,512,370.5,375,369,6,365,356.5,8.5,203.5,433.5,437,435.25,284.5,280.5,0.613786591,1.26953125,0.92,0.122757318,0.320512821,0.053116147,0.349858357,0.340651558,0.192162417,0.266761095,0.411000944,138,0.483474976,1.938085106